7834534 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#84]
7834535 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#85]
7834535 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#174]
7834535 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#87]
7834535 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#88]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#176]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#91]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#92]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#93]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#94]
7834536 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#177]
7834537 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#96]
7834537 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#97]
7834537 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#98]
7834537 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#102]
7834537 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#160]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#157]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#105]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#106]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#110]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#112]
7834538 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#113]
7834539 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#159]
7834539 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#175]
7834539 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#116]
7834539 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#153]
7834539 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#154]
7834540 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#144]
7834540 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#124]
7834540 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#125]
7834540 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#126]
7834540 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#127]
7834541 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#130]
7834541 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#132]
7834541 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#133]
7834541 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#134]
7834541 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#135]
7834542 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#136]
7834542 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#143]
7834542 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#138]
7834542 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#165]
7834542 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#140]
